sampling_data,1
Ct
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
It
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
Position distribution
Mu0,-3.9565389613636204,-3.6022987843108507,
Mu1,-4.495616442781591,-1.8178338378459227,
Mu2,-2.9660674280544486,0.7955565654892286,
Mu3,-3.354224173705187,4.357566741174503,
Mu4,1.6041453694528487,4.477892076671265,
Mu5,4.574700225425168,4.388832928306147,
Mu6,1.3897390157991267,-1.1167889164838087,
Mu7,4.5365637430467265,-4.240103432366497,
Mu8,-0.36125429531039066,-4.954243867457894,
Mu9,-2.2472718938950815,-4.9280899671528235,
Mu10,-2.5634755135998604,-2.0098890175281627,
Sig0
0.29461659223459724,0.022388765667025395,
0.022388765667025395,0.25778688556905516,
Sig1
0.17297819291897626,-0.019507304098933004,
-0.019507304098933004,0.19759432310014044,
Sig2
0.5506792027263561,0.05160765893476864,
0.05160765893476864,0.4556123002664281,
Sig3
0.5333194729539142,0.405598263784016,
0.405598263784016,0.9766220042228008,
Sig4
0.45118291520707854,0.03247634329975189,
0.03247634329975189,0.97141167465657,
Sig5
0.8416461847138506,-0.3393626286151965,
-0.3393626286151965,0.7306830860479299,
Sig6
0.7607046046054154,0.0016361520539393568,
0.0016361520539393568,0.5424990898337128,
Sig7
0.9291198447190027,0.7407609897899472,
0.7407609897899472,1.6145667961439836,
Sig8
0.355301236450973,-0.0019647050602195986,
-0.0019647050602195986,0.18482761098919867,
Sig9
0.217180961773346,-0.030441887001040047,
-0.030441887001040047,0.18487258047621755,
Sig10
0.2792963102081762,0.023686665711476488,
0.023686665711476488,0.38196209953768606,
,玄関,トイレ,キッチン,寝室,リビング,ダイニング,風呂,洗面所,廊下,
W0,0.9525292204899937,0.007703546013879745,0.004968151657970844,0.006158726858217329,0.004908884756094948,0.00507291333939328,0.006872640170211929,0.005677981717570397,0.0061079349966671045,
,玄関,トイレ,キッチン,寝室,リビング,ダイニング,風呂,洗面所,廊下,
W1,0.005704623108792904,0.9498662059080222,0.006207487235618282,0.007305857481063506,0.005077237709064633,0.006995693103121598,0.005970554088621549,0.0058295814813748145,0.007042759884320744,
,玄関,トイレ,キッチン,寝室,リビング,ダイニング,風呂,洗面所,廊下,
W2,0.006856306539112164,0.0072469974812951685,0.949438464074831,0.004823208623746436,0.006241992372123023,0.007234691991939143,0.006378360410287065,0.006186379356744142,0.005593599149921939,
,玄関,トイレ,キッチン,寝室,リビング,ダイニング,風呂,洗面所,廊下,
W3,0.0063632732386077326,0.005672144760863245,0.006180744899799144,0.9511294453235116,0.005874830513551745,0.006217908091911251,0.005683287778734331,0.0069033795787395704,0.005974985814281443,
,玄関,トイレ,キッチン,寝室,リビング,ダイニング,風呂,洗面所,廊下,
W4,0.005799029545877924,0.006385121972820034,0.006197906199422162,0.006739182490684743,0.949382091818682,0.0068600864924993135,0.005961893347304314,0.006660556512642889,0.00601413162006618,
,玄関,トイレ,キッチン,寝室,リビング,ダイニング,風呂,洗面所,廊下,
W5,0.00687856919977954,0.007279280072258671,0.0063516009194569375,0.9481607961430644,0.00628007780402416,0.006608959180881432,0.0064684781045961535,0.006467810599407374,0.005504427976530291,
,玄関,トイレ,キッチン,寝室,リビング,ダイニング,風呂,洗面所,廊下,
W6,0.005651066735588745,0.005699114215073968,0.007409983575523091,0.007861062460349575,0.0051827592481731265,0.9506039345237496,0.006950221839816481,0.005680989110503464,0.00496086829122156,
,玄関,トイレ,キッチン,寝室,リビング,ダイニング,風呂,洗面所,廊下,
W7,0.007200817564464921,0.00575090083508095,0.006304997821658139,0.9497149231823617,0.006625121988394019,0.005879597377174356,0.006165899972663983,0.005766821816895265,0.0065909194413073455,
,玄関,トイレ,キッチン,寝室,リビング,ダイニング,風呂,洗面所,廊下,
W8,0.006880193644963547,0.005632605260609597,0.0063223926412839145,0.005655866227906513,0.0057168604705523166,0.006954455909840293,0.9488806559504039,0.0067089320723078385,0.0072480378221318024,
,玄関,トイレ,キッチン,寝室,リビング,ダイニング,風呂,洗面所,廊下,
W9,0.00669657481108312,0.006710905900705344,0.005507695085773079,0.007385002432223868,0.006258497754879257,0.00601557726775088,0.00609884838914266,0.9495650779517748,0.005761820406667124,
,玄関,トイレ,キッチン,寝室,リビング,ダイニング,風呂,洗面所,廊下,
W10,0.00709795762472162,0.007494037401027425,0.007130290822648058,0.006341465766991532,0.00669402446130726,0.005242744423434556,0.006123549200802211,0.007039158111128897,0.946836772187939,
,0,1,2,3,4,5,6,7,8,9,10,
phi0,0.9379516289456754,0.005915053118203316,0.0073235153175784055,0.006460441677525617,0.006520351333904101,0.006716725457393045,0.0052984890661829185,0.005959986500100003,0.006307518255792116,0.005961817683483684,0.005584472644161111,
,0,1,2,3,4,5,6,7,8,9,10,
phi1,0.006149423603950998,0.9380803376461462,0.006764775125633021,0.005824511382073154,0.006855742281621709,0.006424332907703718,0.0054206464016034635,0.006475817489364871,0.005926572012055614,0.005927822082867026,0.006150019066979649,
,0,1,2,3,4,5,6,7,8,9,10,
phi2,0.006486324604824369,0.005537021594460164,0.939172766708519,0.006120474716035147,0.00760913897796975,0.005843296013200513,0.005944292382802238,0.005462417967844845,0.0058259342527715394,0.005766740396204553,0.006231592385368253,
,0,1,2,3,4,5,6,7,8,9,10,
phi3,0.00511349714223472,0.006802699550661377,0.006107220696513608,0.9449644724634652,0.005352252831414387,0.005570824239357002,0.00485157537736126,0.005969846717532618,0.004818431792712489,0.005211893548201359,0.005237285640544634,
,0,1,2,3,4,5,6,7,8,9,10,
phi4,0.006666321305416327,0.006855529458492991,0.0068882205074756895,0.006411922984619272,0.9336936338485202,0.006417856522841662,0.00615999827628415,0.00690732455548064,0.007047379716008769,0.005957136491327726,0.00699467633353345,
,0,1,2,3,4,5,6,7,8,9,10,
phi5,0.006141779398631731,0.0060204294006034175,0.005262659819070124,0.005847140633236648,0.005721929969432691,0.9379744941026144,0.006683903119450462,0.006811627139755139,0.007065969922884516,0.0063279208845022274,0.006142145609818395,
,0,1,2,3,4,5,6,7,8,9,10,
phi6,0.004550093864991199,0.006900535315723161,0.006998291892896143,0.006369303827884726,0.0057022384436848685,0.0052730451812554886,0.9375554941186494,0.0061341379724180614,0.006785335167797156,0.007908244078560245,0.005823280136139746,
,0,1,2,3,4,5,6,7,8,9,10,
phi7,0.006346489613574085,0.006189675307942194,0.006156898159376666,0.005782696449183454,0.00570677702147858,0.007275926573523242,0.006026409617787595,0.9378212765315486,0.005905532415791117,0.006231657520951901,0.00655666078884298,
,0,1,2,3,4,5,6,7,8,9,10,
phi8,0.006455115667061717,0.005694398873656569,0.007239121705043907,0.005343657362928916,0.005918851953789702,0.006256764041967442,0.006407859379414292,0.005822690791314349,0.9374578587088924,0.006817225795537142,0.006586455720393852,
,0,1,2,3,4,5,6,7,8,9,10,
phi9,0.006615071395360663,0.005993692927219873,0.00632063308254523,0.005608492144878091,0.005922230791060319,0.006473517146132287,0.0067667572795558325,0.006915948206166785,0.006740504504081947,0.9368206091492871,0.005822543373710846,
,0,1,2,3,4,5,6,7,8,9,10,
phi10,0.0072274484676155895,0.006312761147814162,0.006486518646679046,0.005831572807721057,0.00660521797755935,0.0070615392934754535,0.0053946176392807195,0.006716774128646113,0.006778607507470507,0.0067854599959969635,0.9347994823877404,
,0,1,2,3,4,5,6,7,8,9,10,
pi,0.09133747914034158,0.09031359368266438,0.09136177765187167,0.09184637690453769,0.0916479371030069,0.09186518992839258,0.0900401540489915,0.09034166286745969,0.0909595906362148,0.09051127933028129,0.08977495870623796,
psi0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
psi1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
psi2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
psi3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
psi4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
psi5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
psi6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
psi7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
psi8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
psi9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
psi10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
