sampling_data,1
Ct
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
It
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
Position distribution
Mu0,-5.187075871367004,-0.14930318871028966,
Mu1,-3.81963087365216,3.2222468759059426,
Mu2,-2.1070881124789116,1.280160505064846,
Mu3,-0.10606200263851746,4.140226734266303,
Mu4,0.9851843682549185,0.8254511666921819,
Mu5,1.2605335074704291,-1.6571241572701652,
Mu6,-2.1478211466037256,-2.859538711508208,
Mu7,-1.9438194765531653,-4.8745648369271155,
Mu8,0.3076796110591755,-4.183656686573887,
Mu9,-3.801620886994,-3.540280263667064,
Mu10,3.101022571063658,0.2561462562036878,
Sig0
0.16823197024356973,-0.004363993776082355,
-0.004363993776082355,0.2447314628212162,
Sig1
0.4269729291085945,0.06326664698549636,
0.06326664698549636,1.166064006507576,
Sig2
0.16919060113742238,-0.019588439368605628,
-0.019588439368605628,0.26393540686331024,
Sig3
0.8962090683992152,0.1721378116518933,
0.1721378116518933,0.834288282889378,
Sig4
0.5307777425247442,0.011652822538127423,
0.011652822538127423,0.2310214612385964,
Sig5
0.31834620987787693,-0.18799358218228363,
-0.18799358218228363,0.5238372356635342,
Sig6
0.17441974061402335,-0.029794353134212703,
-0.029794353134212703,0.2574734766691868,
Sig7
0.2716632550381282,-0.002120354216452545,
-0.002120354216452545,0.18704246417979575,
Sig8
0.5644434749227363,0.25747559655437663,
0.25747559655437663,0.4167364280635189,
Sig9
0.3732065612674951,-0.054969666198819954,
-0.054969666198819954,0.5503450201487791,
Sig10
0.20559268977003098,-0.07940162695752818,
-0.07940162695752818,9.980509828840008,
,玄関,寝室,トイレ,キッチン,ダイニング,洗面所,風呂,リビング,廊下,
W0,0.948139874819915,0.007212887367606946,0.006635726147816297,0.006196689664092594,0.006929001219653755,0.005096228340145639,0.006321540755788888,0.007649723365634275,0.005818328319346461,
,玄関,寝室,トイレ,キッチン,ダイニング,洗面所,風呂,リビング,廊下,
W1,0.005690606619090586,0.9504534244830344,0.005824601826969939,0.006578448981311216,0.00593518328241572,0.0070771038220310105,0.006633635879177116,0.005912691843196564,0.005894303262773033,
,玄関,寝室,トイレ,キッチン,ダイニング,洗面所,風呂,リビング,廊下,
W2,0.006687394011391474,0.0059931243011652185,0.9472144419936595,0.005709559488507476,0.007076444476952993,0.006455007021317817,0.006223598078216017,0.007610539182273818,0.007029891446515101,
,玄関,寝室,トイレ,キッチン,ダイニング,洗面所,風呂,リビング,廊下,
W3,0.005645586902295916,0.949394333306996,0.006718110905684436,0.00633834363546846,0.006950478803077368,0.006661609529322235,0.006241420881091446,0.0057933503923241906,0.0062567656437401515,
,玄関,寝室,トイレ,キッチン,ダイニング,洗面所,風呂,リビング,廊下,
W4,0.0056152266524496725,0.006356680844885864,0.005675302068593405,0.9504452351374852,0.00622097892985394,0.005893874390850719,0.007503043243000152,0.006155220174886506,0.006134438557993272,
,玄関,寝室,トイレ,キッチン,ダイニング,洗面所,風呂,リビング,廊下,
W5,0.006696793434927673,0.0067815466579559825,0.0052143840136859776,0.006098758964411253,0.951455480611941,0.005413461961871333,0.00563975918478546,0.006484053747049374,0.0062157614233711725,
,玄関,寝室,トイレ,キッチン,ダイニング,洗面所,風呂,リビング,廊下,
W6,0.006497427657196868,0.006562690550408722,0.005779979983215427,0.006362910462954316,0.005851754042119394,0.9504094265091724,0.005978927765171795,0.006080366270831174,0.006476516758929363,
,玄関,寝室,トイレ,キッチン,ダイニング,洗面所,風呂,リビング,廊下,
W7,0.005780527614111319,0.006143403973136736,0.006606998290070343,0.00650767688861248,0.006699159208245193,0.00605094235626125,0.9518654381733189,0.00539992854201855,0.004945924954227805,
,玄関,寝室,トイレ,キッチン,ダイニング,洗面所,風呂,リビング,廊下,
W8,0.005803272651109087,0.006100055206685958,0.006695284098449814,0.006926280289759601,0.005940507450291206,0.007356917908629676,0.005682594094474821,0.9484909702487395,0.007004118051860237,
,玄関,寝室,トイレ,キッチン,ダイニング,洗面所,風呂,リビング,廊下,
W9,0.0059530690122866475,0.9480442661413042,0.005700019071413651,0.007087671558507742,0.0061299081789292975,0.006836896937232847,0.006559597934609021,0.006752856325313743,0.006935714840402639,
,玄関,寝室,トイレ,キッチン,ダイニング,洗面所,風呂,リビング,廊下,
W10,0.005076343205951098,0.005778952938133424,0.005935047975788918,0.005575058041419296,0.006987165681613191,0.00718577045573208,0.0059572407500362926,0.007003242854970714,0.9505011780963544,
,0,1,2,3,4,5,6,7,8,9,10,
phi0,0.938438345114032,0.006436418537336597,0.005409685577099614,0.006556451748773113,0.005645894526888886,0.005960660053784722,0.00539003190118443,0.007344563913704388,0.006417605423552983,0.00655218119303828,0.005848162010605926,
,0,1,2,3,4,5,6,7,8,9,10,
phi1,0.006848365883169067,0.9349018189843618,0.006292788290368734,0.0067277939798635,0.006067928405190063,0.005658229237547253,0.007358388816539442,0.0056123668681512685,0.006584342263705944,0.00634602437955433,0.00760195289154837,
,0,1,2,3,4,5,6,7,8,9,10,
phi2,0.006169453389674028,0.006900593715044025,0.9382919575509565,0.005206234915091429,0.005526668201262174,0.0060141681779076325,0.006658688460302268,0.006446026885916252,0.0067617472911259795,0.006382854045135263,0.005641607367584653,
,0,1,2,3,4,5,6,7,8,9,10,
phi3,0.006522726070216831,0.005703750090546702,0.006324692976409168,0.9395361636630635,0.006064470374804856,0.005869743282560345,0.006035041956037471,0.005789216755886392,0.005620653909639859,0.00684254537787255,0.005690995542961179,
,0,1,2,3,4,5,6,7,8,9,10,
phi4,0.006185766204101762,0.0071410789437109,0.006359610020908242,0.006793553477061383,0.9353274524950079,0.006297049816563874,0.006034778428729984,0.005878090604033548,0.006034674501049945,0.007710374024045741,0.00623757148478654,
,0,1,2,3,4,5,6,7,8,9,10,
phi5,0.00620631514682658,0.006625838153099764,0.006887231444661038,0.006638419187101951,0.0049364933893524705,0.9382912714179141,0.006261744649714215,0.006521138859983119,0.005854577396976063,0.005200770642888915,0.006576199711480785,
,0,1,2,3,4,5,6,7,8,9,10,
phi6,0.006715283955175265,0.006114833723761258,0.006200814402389055,0.006602303015170949,0.006535264785286493,0.007246932863020946,0.9343479648774392,0.00710210831508241,0.006290481047951673,0.005844632090550849,0.006999380924170896,
,0,1,2,3,4,5,6,7,8,9,10,
phi7,0.004862998295803573,0.006626231336135913,0.005795375969297293,0.0060338866895706085,0.005917670400273489,0.007102370894234236,0.006800132861747333,0.9367890231370789,0.006430588404449505,0.00712114312584263,0.006520578885566741,
,0,1,2,3,4,5,6,7,8,9,10,
phi8,0.005991278031876439,0.006021486144482709,0.006418163046005391,0.006313026800545991,0.00630690937890972,0.006379315974449852,0.006702000658649337,0.005721382107849281,0.9375402894042735,0.005716811431959988,0.006889337020998774,
,0,1,2,3,4,5,6,7,8,9,10,
phi9,0.006408858223479816,0.007447334026502046,0.00572567837007972,0.006966689693148888,0.0057745195803786545,0.007451973371596023,0.005558126922159398,0.005814798172220119,0.006059275810996096,0.9370640938026087,0.005728652026830701,
,0,1,2,3,4,5,6,7,8,9,10,
phi10,0.006342095271363306,0.006169746440153551,0.006804759167161722,0.006096737888561562,0.005966592437899631,0.00737552393232992,0.005996764200435078,0.006712608169573767,0.005458199392601838,0.005567860017022385,0.9375091130828968,
,0,1,2,3,4,5,6,7,8,9,10,
pi,0.09040872187798714,0.09034512242182709,0.09150883898609494,0.09072352895267274,0.09199355706737869,0.09105454192769885,0.09053237534142529,0.09024733612373283,0.09122251855781573,0.09054995601848426,0.0914135027248828,
psi0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
psi1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
psi2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
psi3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
psi4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
psi5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
psi6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
psi7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
psi8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
psi9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
psi10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
