index,theta,x,y,sin,cos
0,115.96,4.08,0.16,-0.899099868,0.4377435634
1,-178.65,3.99,-0.14,0.0235597648,0.9997224302
2,116.65,3.95,-0.42,-0.8937631529,0.448539214
3,-168.25,3.96,-0.63,0.2036417511,0.9790454725
4,-164.84,4.15,-0.72,0.2615154062,0.9651993019
5,-135.09,4.44,-0.81,0.7059951886,0.7082166291
6,-160.83,4.44,-0.38,0.3283721274,0.944548435
7,96.57,4.31,0.11,-0.9934328104,0.114417006
8,100.66,4.39,0.2,-0.9827421768,0.1849805771
9,165.4,4.15,0.2,-0.2520693582,0.9677091705
10,143.1,4.03,0.18,-0.6004202253,0.7996846585
11,-165.3,4.26,-0.18,0.2537579446,0.9672677528
12,-173.28,4.18,0,0.1170174119,0.9931298633
13,179.27,4.07,0.13,-0.0127405588,0.9999188358
14,111.15,4.41,0.05,-0.9326390231,0.3608108265
15,-106.65,2.44,2.12,0.9580728995,0.2865245527
16,-95.78,2.99,2.15,0.9949159235,0.1007090122
17,-94.09,3.5,2.21,0.9974532464,0.071323357
18,-84.32,3.77,2.8,0.9950901785,-0.0989724038
19,-97.93,3.27,3.02,0.9904373617,0.1379631567
20,-102.45,3,3.37,0.9764845145,0.2155875526
21,-78.39,3.85,3.62,0.97954014,-0.2012488862
22,-97.09,3.06,3.66,0.9923534953,0.1234282803
23,-123.25,2.68,4.16,0.8362861558,0.5482932295
24,-150.76,2.19,2.98,0.4884689548,0.8725812743
25,-144.42,1.96,3.51,0.581839109,0.8133039108
26,165.76,2.57,5.05,-0.2459841266,0.9692738568
27,164.09,2.53,5.26,-0.27412707,0.96169348
28,-121.12,2.76,1.89,0.8560867283,0.516832191
29,-146.94,2.08,2.24,0.54551699,0.8380997635
30,-1.14,1.3,1.9,0.0198954407,-0.9998020661
31,8.69,1.12,1.92,-0.1510882932,-0.9885202717
32,-14.07,1.35,1.73,0.2431071546,-0.9699994389
33,-11.11,1.12,1.66,0.1926932315,-0.9812590476
34,-26.43,1.28,1.35,0.4451041118,-0.895478827
35,-36.7,1.01,1.32,0.597625147,-0.8017756442
36,-46.33,1.24,1.12,0.723328792,-0.6905037717
37,-60.01,1.32,0.99,0.8661126571,-0.4998488424
38,-61.05,1.37,0.87,0.8750424503,-0.4840461861
39,-48.95,1.1,0.9,0.7541367734,-0.6567173875
40,-67.21,0.94,1.07,0.9219307718,-0.3873546851
41,-89.86,0.61,0.84,0.9999970148,-0.0024434585
42,-51.41,0.96,1.18,0.781629348,-0.6237431862
43,-57.08,0.84,1.16,0.8394302097,-0.5434674995
